rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
248,2016,2015-10-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,FEDERAL AID,7895160.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
249,2023,2022-07-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,FEDERAL AID,6902935.2600,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
250,2023,2023-04-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,6668049.3900,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
251,2021,2021-06-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,6577059.8300,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
252,2024,2024-05-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,6323397.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
253,2023,2022-11-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,6276321.7100,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
254,2021,2021-05-21,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,6241874.2500,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
255,2023,2022-09-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,6114286.8000,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
256,2023,2022-08-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,FEDERAL AID,5823751.5000,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
257,2023,2023-02-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,5707263.9800,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
258,2025,2024-07-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,5609862.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
259,2023,2023-05-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,5554132.5200,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
260,2025,2024-09-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,5287334.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
261,2017,2017-03-24,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,OUTFRONT MEDIA LLC,FEDERAL AID,2401821.0000,11.7,"whole_dollar,short_tenure_vendor,new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
262,2018,2018-01-11,GAME AND FISH DEPARTMENT,CAPITAL OUTLAY,LAWYERS TITLE OF ARIZONA INC,WILDLIFE MANAGEMENT,2147159.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",screened_unreviewed,,
263,2017,2016-10-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,JHAWAR INDUSTRIES INC,FEDERAL AID,1045208.0000,11.7,"whole_dollar,short_tenure_vendor,new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
264,2017,2016-12-06,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,JHAWAR INDUSTRIES INC,FEDERAL AID,1045208.0000,11.7,"whole_dollar,short_tenure_vendor,new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
265,2016,2015-07-10,DEPT OF CHILD SAFETY,OTHER OPERATING EXPENDITURES,JP MORGAN ELECTRONIC FINANCIAL SERVICES INC,CONVERSION APPROPS,12006779.3300,11.2,"peer_outlier,offcontract",screened_unreviewed,,
266,2016,2015-07-22,DEPT OF ADMINISTRATION,OTHER OPERATING EXPENDITURES,,AUTOMATION AND INFORMATION TECH PROJECTS,9668620.7000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
267,2024,2024-03-20,DEPT OF ECONOMIC SECURITY,OTHER OPERATING EXPENDITURES,N/A,DDD PREMIUM TAX LTC,8697121.0000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
268,2023,2023-03-02,DEPT OF ECONOMIC SECURITY,OTHER OPERATING EXPENDITURES,N/A,DIVISION OF LONG TERM CARE,8000000.0000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
269,2018,2017-09-26,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,4844399.5400,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
270,2018,2017-11-13,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,4719921.5900,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
271,2018,2017-09-26,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,4348738.0500,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
272,2019,2019-01-14,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,,3787403.2800,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
273,2020,2020-02-24,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,,3703624.5700,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
274,2018,2017-09-27,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,3340024.6600,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
275,2018,2017-09-28,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,2186390.0300,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
276,2025,2025-06-25,DEPT OF ECONOMIC SECURITY,OTHER OPERATING EXPENDITURES,N/A,DAAS NON-APPROPRIATED OPERATING,2112352.5000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
277,2020,2020-01-21,DEPT OF ECONOMIC SECURITY,OTHER OPERATING EXPENDITURES,N/A,,2100000.0000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
278,2020,2019-12-12,DEPT OF ECONOMIC SECURITY,OTHER OPERATING EXPENDITURES,N/A,,2100000.0000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
279,2023,2022-12-09,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,OPERATING LUMP SUM APPROPRIATION,2000000.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
280,2021,2021-06-08,DEPT OF ECONOMIC SECURITY,OTHER OPERATING EXPENDITURES,N/A,DDD PREMIUM TAX LTC,2000000.0000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
281,2016,2016-05-23,DEPT OF ECONOMIC SECURITY,OTHER OPERATING EXPENDITURES,,DBME OPERATING LUMP SUM CLEARING,1939219.9800,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
282,2024,2023-08-08,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,FEDERAL AID,1903600.0000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
283,2024,2023-11-07,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,FEDERAL AID,1903600.0000,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
284,2018,2017-10-06,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,1851834.5300,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
285,2016,2016-05-23,DEPT OF ECONOMIC SECURITY,OTHER OPERATING EXPENDITURES,,DBME OPERATING LUMP SUM CLEARING,1514273.5700,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
286,2024,2023-12-06,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,OPERATING LUMP SUM APPROPRIATION,1500000.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
287,2025,2024-08-19,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,POSTAGE FUND,1500000.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
288,2023,2023-03-24,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,OPERATING LUMP SUM APPROPRIATION,1372900.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
289,2021,2020-12-08,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,FEDERAL AID,1353064.1700,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
290,2024,2024-06-11,DEPT OF CORRECTIONS,OTHER OPERATING EXPENDITURES,ROSEN BIEN GALVAN & GRUNFELD LLP,NON-HEALTH CARE AOOE,1350000.0000,11.2,"peer_outlier,offcontract",screened_unreviewed,,
291,2024,2024-06-27,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,OPERATING LUMP SUM APPROPRIATION,1200000.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
292,2016,2016-06-20,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,,HELP LOAN - MAG RFS 50M,1157957.6900,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
293,2016,2016-01-12,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,,FEDERAL AID,1157957.6900,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
294,2018,2018-04-24,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,FEDERAL AID,1148992.9300,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
295,2016,2016-03-24,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,,FEDERAL AID,1148992.9300,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
296,2018,2018-06-22,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,N/A,IBM LEGACY PROJECT,1029840.4900,11.2,"peer_outlier,manual_rail_disc",screened_unreviewed,,
297,2023,2023-05-24,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,OPERATING LUMP SUM APPROPRIATION,1000000.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
298,2025,2025-06-19,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,OPERATING LUMP SUM APPROPRIATION,1000000.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
299,2025,2025-03-20,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,POSTAGE FUND,1000000.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
300,2025,2024-11-25,DEPT OF TRANSPORTATION,OTHER OPERATING EXPENDITURES,PITNEY BOWES,POSTAGE FUND,1000000.0000,11.2,"peer_outlier,offcontract",false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
301,2017,2017-04-07,DEPT OF PUBLIC SAFETY,CAPITAL EQUIPMENT,BELL HELICOPTER TEXTRON INC.,BORDER STRIKE TASK FORCE ONE-TIME,3000000.0000,10.8,"round_1m,peer_outlier",screened_unreviewed,,
302,2017,2017-04-07,DEPT OF PUBLIC SAFETY,CAPITAL EQUIPMENT,BELL HELICOPTER TEXTRON INC.,BORDER STRIKE TASK FORCE ONE-TIME,1000000.0000,10.8,"round_1m,peer_outlier",screened_unreviewed,,
303,2023,2023-06-29,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,7741386.2300,10.5,"new_vendor_dominant,new_vendor_large,no_contract_named,offcontract",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
